# Feed Mass Frac,Mono to Di Ratio,Temperature,Density,Enthalpy,Vapor Pressure
5.000000e-04,3.333333e-01,2.981500e+02,9.973296e+02,-1.044782e+05,3.127323e+03
5.000000e-04,3.333333e-01,3.081500e+02,9.943104e+02,-1.462004e+05,5.552845e+03
5.000000e-04,3.333333e-01,3.181500e+02,9.904869e+02,-1.880138e+05,9.461530e+03
5.000000e-04,3.333333e-01,3.281500e+02,9.859653e+02,-2.299506e+05,1.553150e+04
5.000000e-04,3.333333e-01,3.381500e+02,9.808223e+02,-2.720438e+05,2.464723e+04
5.000000e-04,3.333333e-01,3.481500e+02,9.751144e+02,-3.143368e+05,3.792682e+04
5.000000e-04,3.333333e-01,3.581500e+02,9.688839e+02,-3.568873e+05,5.674375e+04
5.000000e-04,3.333333e-01,3.681500e+02,9.621620e+02,-3.997663e+05,8.274123e+04
5.000000e-04,5.000000e-01,2.981500e+02,9.973477e+02,-1.044747e+05,3.127264e+03
5.000000e-04,5.000000e-01,3.081500e+02,9.943282e+02,-1.461958e+05,5.552740e+03
5.000000e-04,5.000000e-01,3.181500e+02,9.905044e+02,-1.880081e+05,9.461350e+03
5.000000e-04,5.000000e-01,3.281500e+02,9.859827e+02,-2.299437e+05,1.553120e+04
5.000000e-04,5.000000e-01,3.381500e+02,9.808395e+02,-2.720357e+05,2.464675e+04
5.000000e-04,5.000000e-01,3.481500e+02,9.751316e+02,-3.143275e+05,3.792608e+04
5.000000e-04,5.000000e-01,3.581500e+02,9.689011e+02,-3.568767e+05,5.674265e+04
5.000000e-04,5.000000e-01,3.681500e+02,9.621792e+02,-3.997543e+05,8.273962e+04
5.000000e-04,1.000000e+00,2.981500e+02,9.973820e+02,-1.044680e+05,3.127155e+03
5.000000e-04,1.000000e+00,3.081500e+02,9.943617e+02,-1.461870e+05,5.552542e+03
5.000000e-04,1.000000e+00,3.181500e+02,9.905375e+02,-1.879972e+05,9.461010e+03
5.000000e-04,1.000000e+00,3.281500e+02,9.860154e+02,-2.299307e+05,1.553064e+04
5.000000e-04,1.000000e+00,3.381500e+02,9.808720e+02,-2.720205e+05,2.464586e+04
5.000000e-04,1.000000e+00,3.481500e+02,9.751640e+02,-3.143100e+05,3.792470e+04
5.000000e-04,1.000000e+00,3.581500e+02,9.689335e+02,-3.568567e+05,5.674057e+04
5.000000e-04,1.000000e+00,3.681500e+02,9.622117e+02,-3.997317e+05,8.273660e+04
5.000000e-04,2.000000e+00,2.981500e+02,9.974136e+02,-1.044618e+05,3.127054e+03
5.000000e-04,2.000000e+00,3.081500e+02,9.943927e+02,-1.461788e+05,5.552360e+03
5.000000e-04,2.000000e+00,3.181500e+02,9.905680e+02,-1.879871e+05,9.460696e+03
5.000000e-04,2.000000e+00,3.281500e+02,9.860456e+02,-2.299187e+05,1.553012e+04
5.000000e-04,2.000000e+00,3.381500e+02,9.809020e+02,-2.720064e+05,2.464503e+04
5.000000e-04,2.000000e+00,3.481500e+02,9.751939e+02,-3.142938e+05,3.792343e+04
5.000000e-04,2.000000e+00,3.581500e+02,9.689634e+02,-3.568382e+05,5.673866e+04
5.000000e-04,2.000000e+00,3.681500e+02,9.622417e+02,-3.997108e+05,8.273381e+04
5.000000e-04,3.000000e+00,2.981500e+02,9.974286e+02,-1.044589e+05,3.127006e+03
5.000000e-04,3.000000e+00,3.081500e+02,9.944074e+02,-1.461750e+05,5.552274e+03
5.000000e-04,3.000000e+00,3.181500e+02,9.905824e+02,-1.879824e+05,9.460548e+03
5.000000e-04,3.000000e+00,3.281500e+02,9.860598e+02,-2.299130e+05,1.552987e+04
5.000000e-04,3.000000e+00,3.381500e+02,9.809162e+02,-2.719998e+05,2.464464e+04
5.000000e-04,3.000000e+00,3.481500e+02,9.752081e+02,-3.142862e+05,3.792282e+04
5.000000e-04,3.000000e+00,3.581500e+02,9.689775e+02,-3.568295e+05,5.673776e+04
5.000000e-04,3.000000e+00,3.681500e+02,9.622558e+02,-3.997009e+05,8.273249e+04
1.000000e-03,3.333333e-01,2.981500e+02,9.976108e+02,-1.044236e+05,3.126704e+03
1.000000e-03,3.333333e-01,3.081500e+02,9.945868e+02,-1.461270e+05,5.551759e+03
1.000000e-03,3.333333e-01,3.181500e+02,9.907603e+02,-1.879215e+05,9.459697e+03
1.000000e-03,3.333333e-01,3.281500e+02,9.862369e+02,-2.298389e+05,1.552851e+04
1.000000e-03,3.333333e-01,3.381500e+02,9.810932e+02,-2.719118e+05,2.464251e+04
1.000000e-03,3.333333e-01,3.481500e+02,9.753854e+02,-3.141837e+05,3.791960e+04
1.000000e-03,3.333333e-01,3.581500e+02,9.691558e+02,-3.567117e+05,5.673298e+04
1.000000e-03,3.333333e-01,3.681500e+02,9.624354e+02,-3.995666e+05,8.272560e+04
1.000000e-03,5.000000e-01,2.981500e+02,9.976472e+02,-1.044165e+05,3.126588e+03
1.000000e-03,5.000000e-01,3.081500e+02,9.946225e+02,-1.461176e+05,5.551550e+03
1.000000e-03,5.000000e-01,3.181500e+02,9.907954e+02,-1.879099e+05,9.459336e+03
1.000000e-03,5.000000e-01,3.281500e+02,9.862717e+02,-2.298251e+05,1.552791e+04
1.000000e-03,5.000000e-01,3.381500e+02,9.811277e+02,-2.718957e+05,2.464156e+04
1.000000e-03,5.000000e-01,3.481500e+02,9.754198e+02,-3.141651e+05,3.791813e+04
