# Feed Mass Frac,Mono to Di Ratio,Temperature,Density,Osmotic Pressure
2.000000e-03,2.500000e-01,2.981500e+02,1.000464e+03,2.266349e+05
2.000000e-03,2.500000e-01,3.081500e+02,9.974307e+02,2.328177e+05
2.000000e-03,2.500000e-01,3.181500e+02,9.936032e+02,2.386303e+05
2.000000e-03,2.500000e-01,3.281500e+02,9.890862e+02,2.440797e+05
2.000000e-03,2.500000e-01,3.381500e+02,9.839559e+02,2.491668e+05
2.000000e-03,2.500000e-01,3.481500e+02,9.782685e+02,2.538868e+05
2.000000e-03,2.500000e-01,3.581500e+02,9.720659e+02,2.582289e+05
2.000000e-03,2.500000e-01,3.681500e+02,9.653792e+02,2.621763e+05
2.000000e-03,5.000000e-01,2.981500e+02,1.000198e+03,2.231860e+05
2.000000e-03,5.000000e-01,3.081500e+02,9.971622e+02,2.293737e+05
2.000000e-03,5.000000e-01,3.181500e+02,9.933324e+02,2.352082e+05
2.000000e-03,5.000000e-01,3.281500e+02,9.888131e+02,2.406973e+05
2.000000e-03,5.000000e-01,3.381500e+02,9.836801e+02,2.458421e+05
2.000000e-03,5.000000e-01,3.481500e+02,9.779896e+02,2.506387e+05
2.000000e-03,5.000000e-01,3.581500e+02,9.717836e+02,2.550777e+05
2.000000e-03,5.000000e-01,3.681500e+02,9.650930e+02,2.591438e+05
2.000000e-03,1.000000e+00,2.981500e+02,9.998647e+02,2.187024e+05
2.000000e-03,1.000000e+00,3.081500e+02,9.968265e+02,2.248829e+05
2.000000e-03,1.000000e+00,3.181500e+02,9.929941e+02,2.307316e+05
2.000000e-03,1.000000e+00,3.281500e+02,9.884717e+02,2.362564e+05
2.000000e-03,1.000000e+00,3.381500e+02,9.833353e+02,2.414596e+05
2.000000e-03,1.000000e+00,3.481500e+02,9.776410e+02,2.463382e+05
2.000000e-03,1.000000e+00,3.581500e+02,9.714307e+02,2.508846e+05
2.000000e-03,1.000000e+00,3.681500e+02,9.647352e+02,2.550857e+05
2.000000e-03,2.000000e+00,2.981500e+02,9.995316e+02,2.139999e+05
2.000000e-03,2.000000e+00,3.081500e+02,9.964910e+02,2.201573e+05
2.000000e-03,2.000000e+00,3.181500e+02,9.926558e+02,2.260038e+05
2.000000e-03,2.000000e+00,3.281500e+02,9.881304e+02,2.315478e+05
