# Feed Mass Frac,Temperature,Calcite,Anhydrite
3.500000e-02,2.981500e+02,1.000000e-32,1.000000e-32
3.500000e-02,3.231500e+02,1.000000e-32,1.000000e-32
3.500000e-02,3.481500e+02,1.000000e-32,1.000000e-32
3.500000e-02,3.731500e+02,1.000000e-32,1.000000e-32
6.444444e-02,2.981500e+02,1.000000e-32,1.000000e-32
6.444444e-02,3.231500e+02,1.000000e-32,1.000000e-32
6.444444e-02,3.481500e+02,1.000000e-32,1.000000e-32
6.444444e-02,3.731500e+02,1.000000e-32,1.000000e-32
9.388889e-02,2.981500e+02,1.000000e-32,1.000000e-32
9.388889e-02,3.231500e+02,1.000000e-32,1.000000e-32
9.388889e-02,3.481500e+02,1.000000e-32,1.000000e-32
9.388889e-02,3.731500e+02,1.000000e-32,1.000000e-32
1.233333e-01,2.981500e+02,1.000000e-32,1.000000e-32
1.233333e-01,3.231500e+02,1.000000e-32,1.000000e-32
1.233333e-01,3.481500e+02,1.000000e-32,1.000000e-32
1.233333e-01,3.731500e+02,1.000000e-32,1.000000e-32
1.527778e-01,2.981500e+02,1.000000e-32,1.000000e-32
1.527778e-01,3.231500e+02,1.000000e-32,1.000000e-32
1.527778e-01,3.481500e+02,1.000000e-32,1.000000e-32
1.527778e-01,3.731500e+02,1.000000e-32,1.000000e-32
1.822222e-01,2.981500e+02,1.000000e-32,1.000000e-32
1.822222e-01,3.231500e+02,1.000000e-32,1.000000e-32
1.822222e-01,3.481500e+02,1.000000e-32,1.000000e-32
1.822222e-01,3.731500e+02,1.000000e-32,1.000000e-32
2.116667e-01,2.981500e+02,1.000000e-32,1.000000e-32
2.116667e-01,3.231500e+02,1.000000e-32,1.000000e-32
2.116667e-01,3.481500e+02,1.000000e-32,1.000000e-32
2.116667e-01,3.731500e+02,1.000000e-32,1.000000e-32
2.411111e-01,2.981500e+02,1.000000e-32,1.000000e-32
2.411111e-01,3.231500e+02,1.000000e-32,1.000000e-32
2.411111e-01,3.481500e+02,1.000000e-32,1.000000e-32
2.411111e-01,3.731500e+02,1.000000e-32,1.000000e-32
2.705556e-01,2.981500e+02,1.000000e-32,1.000000e-32
2.705556e-01,3.231500e+02,1.000000e-32,1.000000e-32
2.705556e-01,3.481500e+02,1.000000e-32,1.000000e-32
2.705556e-01,3.731500e+02,1.000000e-32,1.000000e-32
3.000000e-01,2.981500e+02,1.000000e-32,1.000000e-32
3.000000e-01,3.231500e+02,1.000000e-32,1.000000e-32
3.000000e-01,3.481500e+02,1.000000e-32,1.000000e-32
3.000000e-01,3.731500e+02,1.000000e-32,1.000000e-32
