# Inlet Salinity,Water Recovery,LCOW,SEC,Evaporator area,Compressor pressure ratio,Brine HX area,Dist HX area,Brine Enth Flow,Vapor Pressure
3.500000e-02,4.000000e-01,4.462716e+00,2.043985e+01,5.596031e+02,1.545578e+00,2.989944e+02,2.237057e+02,7.270329e+06,3.674801e+04
3.500000e-02,4.500000e-01,4.368553e+00,2.003561e+01,6.456000e+02,1.532490e+00,2.444721e+02,2.248486e+02,6.620051e+06,3.663443e+04
3.500000e-02,5.000000e-01,4.302933e+00,1.977222e+01,7.307506e+02,1.524125e+00,1.992769e+02,2.243889e+02,5.970084e+06,3.649673e+04
3.500000e-02,5.500000e-01,4.257413e+00,1.961292e+01,8.151212e+02,1.519202e+00,1.614791e+02,2.226834e+02,5.320534e+06,3.632638e+04
3.500000e-02,6.000000e-01,4.227221e+00,1.953965e+01,8.987868e+02,1.517099e+00,1.295741e+02,2.199087e+02,4.671559e+06,3.611036e+04
3.500000e-02,6.500000e-01,4.210073e+00,1.954883e+01,9.817993e+02,1.517697e+00,1.023937e+02,2.160713e+02,4.023402e+06,3.582782e+04
3.500000e-02,7.000000e-01,4.205885e+00,1.965287e+01,1.064148e+03,1.521418e+00,7.903064e+01,2.109646e+02,3.376457e+06,3.544319e+04
3.500000e-02,7.500000e-01,4.217502e+00,1.989045e+01,1.145660e+03,1.529585e+00,5.878264e+01,2.040252e+02,2.731383e+06,3.489075e+04
3.500000e-02,8.000000e-01,4.253733e+00,2.036073e+01,1.225651e+03,1.545637e+00,4.111229e+01,1.939301e+02,2.089338e+06,3.403431e+04
5.000000e-02,4.000000e-01,4.473496e+00,2.066766e+01,5.704634e+02,1.553489e+00,2.898780e+02,2.182320e+02,7.156213e+06,3.619896e+04
5.000000e-02,4.500000e-01,4.385956e+00,2.030522e+01,6.579083e+02,1.541716e+00,2.354356e+02,2.189542e+02,6.497322e+06,3.602901e+04
5.000000e-02,5.000000e-01,4.327101e+00,2.009146e+01,7.444116e+02,1.534944e+00,1.904782e+02,2.178723e+02,5.839079e+06,3.582250e+04
5.000000e-02,5.500000e-01,4.289020e+00,1.999321e+01,8.300273e+02,1.532012e+00,1.530228e+02,2.153281e+02,5.181690e+06,3.556643e+04
